ISim P.20131013 (signature 0x7708f090)
This is a Full version of ISim.
Time resolution is 1 ps
Simulator is doing circuit initialization process.
Finished circuit initialization process.
@00003a9c: $31 <= 00000004
@00003aa0: $11 <= 00003ac0
@00003aa4: $31 <= 00000004
@00003aa8: $31 <= 00000068
@00003aac: $31 <= 0000003c
@00003ab4: $31 <= 00003abc
@00003ab8: *00001abc <= 00003abc
@00003ac0: $31 <= 00003ac0
@00003ac4: $11 <= 00003ae4
@00003ac8: $31 <= 0000001c
@00003acc: $31 <= 00000038
@00003ad0: $31 <= 00000060
@00003ad8: $31 <= 00003ae0
@00003adc: *00001ae0 <= 00003ae0
@00003ae4: $31 <= 00003af4
@00003aec: $31 <= 00003afc
@00003af4: $11 <= 00003b14
@00003af8: $31 <= 00000010
@00003afc: $31 <= 00000050
@00003b00: $31 <= 00000048
@00003b08: $31 <= 00003b10
@00003b0c: $31 <= 00003b14
@00003b14: $31 <= 00003b24
@00003b1c: $31 <= 00000000
@00003b24: $11 <= 00003b44
@00003b28: $31 <= 0000000c
@00003b2c: $31 <= 0000005c
@00003b30: $31 <= 00000034
@00003b38: $31 <= 00003b40
@00003b3c: $31 <= 00003b48
@00003b44: $31 <= 00003b54
@00003b48: $11 <= 00003b50
@00003b4c: $31 <= 00003b5c
@00003b54: $11 <= 00003b74
@00003b58: $31 <= 0000000c
@00003b5c: $31 <= 0000005c
@00003b60: $31 <= 00000034
@00003b68: $31 <= 00003b70
@00003b6c: $31 <= 00003b78
@00003b74: $31 <= 00003b84
@00003b78: $11 <= 00003b80
@00003b7c: $31 <= 00003b88
@00003b84: $31 <= 00000008
@00003b88: $31 <= 0000000c
@00003b8c: $31 <= 0000005c
@00003b98: $31 <= 00000034
@00003b9c: $31 <= 00000004
@00003ba0: $31 <= 00000068
@00003ba4: $31 <= 0000003c
@00003bb0: $31 <= 0000002c
@00003bb4: $31 <= 00000004
@00003bb8: $31 <= 00000068
@00003bbc: $31 <= 0000003c
@00003bc8: *0000103c <= 0000003c
@00003bcc: $31 <= 00000004
@00003bd0: $31 <= 00000068
@00003bd4: $31 <= 0000003c
@00003be0: *0000103c <= 0000003c
@00003be4: $31 <= 00000004
@00003be8: $31 <= 00000068
@00003bec: $31 <= 0000003c
@00003bf8: $31 <= 00000044
@00003bfc: $31 <= 00000008
@00003c00: $31 <= 0000000c
@00003c04: $31 <= 0000005c
@00003c10: $31 <= 00000064
@00003c14: $31 <= 00000018
@00003c18: $31 <= 00000044
@00003c1c: $31 <= 00000014
@00003c28: $31 <= 0000001c
@00003c2c: $31 <= 00000004
@00003c30: $31 <= 00000068
@00003c34: $31 <= 0000003c
@00003c40: $31 <= 00000044
@00003c44: $31 <= 00000014
@00003c48: $31 <= 0000004c
@00003c4c: $31 <= 00000058
