
@00003000: $ 8 <= 00000000
@00003004: *00000190 <= 00000000
@0000349c: $14 <= 00001926
@000034a0: $30 <= 000034a8
@000034a4: *00000008 <= 7f0e0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000034a8
@000034a8: $14 <= 00001926
@000034ac: $30 <= 000034b4
@000034b0: *00000008 <= 7f0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000034b4
@000034b4: $14 <= 00001926
@000034b8: $30 <= 000034c0
@000034bc: *00000008 <= 0d0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000034c0
@000034c0: $14 <= 00001926
@000034c4: $30 <= 000034cc
@000034c8: *0000000c <= 7f0e7f0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000034cc
@000034cc: $14 <= 00001926
@000034d0: $30 <= 000034d8
@000034d4: *0000000c <= 7f0e0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000034d8
@000034d8: $14 <= 00001926
@000034dc: $30 <= 000034e4
@000034e0: *0000000c <= 7f0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000034e4
@000034e4: $14 <= 00001926
@000034e8: $30 <= 000034f0
@000034ec: *0000000c <= 0d0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000034f0
@000034f0: $14 <= 00001926
@000034f4: $30 <= 000034fc
@000034f8: *00000010 <= 00007f0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000034fc
@000034fc: $ 8 <= 00007f0c
@00003500: $14 <= 00001926
@00003504: $30 <= 0000350c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003504
@0000418c: $15 <= 0000350c
@0000350c: $14 <= 00001926
@00003510: $30 <= 00003518
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003510
@0000418c: $15 <= 00003518
@00003518: $14 <= 00001926
@0000351c: $30 <= 00003524
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 0000351c
@0000418c: $15 <= 00003524
@00003524: $14 <= 00001926
@00003528: $30 <= 00003530
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003528
@0000418c: $15 <= 00003530
@00003530: $14 <= 00001926
@00003534: $30 <= 0000353c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003534
@0000418c: $15 <= 0000353c
@0000353c: $14 <= 00001926
@00003540: $30 <= 00003548
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003540
@0000418c: $15 <= 00003548
@00003548: $14 <= 00001926
@0000354c: $30 <= 00003554
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 0000354c
@0000418c: $15 <= 00003554
@00003554: $14 <= 00001926
@00003558: $30 <= 00003560
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003558
@0000418c: $15 <= 00003560
@00003560: $14 <= 00001926
@00003564: $30 <= 0000356c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003564
@0000418c: $15 <= 0000356c
@0000356c: $14 <= 00001926
@00003570: $30 <= 00003578
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003570
@0000418c: $15 <= 00003578
@00003578: $14 <= 00001926
@0000357c: $30 <= 00003584
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 0000357c
@0000418c: $15 <= 00003584
@00003584: $14 <= 00001926
@00003588: $30 <= 00003590
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003588
@0000418c: $15 <= 00003590
@00003590: $14 <= 00001926
@00003594: $30 <= 0000359c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003594
@0000418c: $15 <= 0000359c
@0000359c: $14 <= 00001926
@000035a0: $30 <= 000035a8
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 000035a0
@0000418c: $15 <= 000035a8
@000035a8: $14 <= 00001926
@000035ac: $30 <= 000035b4
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 000035ac
@0000418c: $15 <= 000035b4
@000035b4: $14 <= 00001926
@000035b8: $30 <= 000035c0
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 000035b8
@0000418c: $15 <= 000035c0
@000035c0: $14 <= 00001926
@000035c4: $30 <= 000035cc
@000035c8: $ 8 <= 0d0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000035cc
@000035cc: $14 <= 00001926
@000035d0: $30 <= 000035d8
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 000035d0
@0000418c: $15 <= 000035d8
@000035d8: $14 <= 00001926
@000035dc: $30 <= 000035e4
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 000035dc
@0000418c: $15 <= 000035e4
@000035e4: $14 <= 00001926
@000035e8: $30 <= 000035f0
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 000035e8
@0000418c: $15 <= 000035f0
@000035f0: $14 <= 00001926
@000035f4: $30 <= 000035fc
@000035f8: $ 8 <= 0d0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000035fc
@000035fc: $14 <= 00001926
@00003600: $30 <= 00003608
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003600
@0000418c: $15 <= 00003608
@00003608: $14 <= 00001926
@0000360c: $30 <= 00003614
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 0000360c
@0000418c: $15 <= 00003614
@00003614: $14 <= 00001926
@00003618: $30 <= 00003620
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003618
@0000418c: $15 <= 00003620
@00003620: $14 <= 00001926
@00003624: $30 <= 0000362c
@00003628: $ 8 <= 0d0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 0000362c
@0000362c: $14 <= 00001926
@00003630: $30 <= 00003638
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003630
@0000418c: $15 <= 00003638
@00003638: $14 <= 00001926
@0000363c: $30 <= 00003644
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 0000363c
@0000418c: $15 <= 00003644
@00003644: $14 <= 00001926
@00003648: $30 <= 00003650
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003648
@0000418c: $15 <= 00003650
@00003650: $14 <= 00001926
@00003654: $30 <= 0000365c
@00003658: $ 8 <= 0d0d0d0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 0000365c
@0000365c: $14 <= 00001926
@00003660: $30 <= 00003668
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003660
@0000418c: $15 <= 00003668
@00003668: $14 <= 00001926
@0000366c: $30 <= 00003674
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 0000366c
@0000418c: $15 <= 00003674
@00003674: $14 <= 00001926
@00003678: $30 <= 00003680
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003678
@0000418c: $15 <= 00003680
@00003680: $14 <= 00001926
@00003684: $30 <= 0000368c
@00003688: $ 8 <= 00007f0d
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 0000368c
@0000368c: $ 8 <= 00007f0c
@00003690: $14 <= 00001926
@00003694: $30 <= 0000369c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 00003694
@0000418c: $15 <= 0000369c
@0000369c: $14 <= 00001926
@000036a0: $30 <= 000036a8
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 000036a0
@0000418c: $15 <= 000036a8
@000036a8: $14 <= 00001926
@000036ac: $30 <= 000036b4
@00004180: $15 <= 00000002
@00004184: $15 <= 80000010
@00004188: $15 <= 000036ac
@0000418c: $15 <= 000036b4
@000036b4: $14 <= 00001926
@000036b8: $30 <= 000036c0
@00004180: $15 <= 00000002
